approach,lang,pass_at_1
GPT-4o,Python,66.4
GPT-4o,Java,58.5
GPT-4o,C++,55.7
GPT-4o,JavaScript,63.5
GPT-4o,Rust,43.0
GPT-4o,Go,50.7
Claude-3.5-Sonnet,Python,62.5
Claude-3.5-Sonnet,Java,53.9
Claude-3.5-Sonnet,C++,51.0
Claude-3.5-Sonnet,JavaScript,62.1
Claude-3.5-Sonnet,Rust,39.8
Claude-3.5-Sonnet,Go,49.3
Gemini-1.5-Pro,Python,59.8
Gemini-1.5-Pro,Java,51.7
Gemini-1.5-Pro,C++,48.4
Gemini-1.5-Pro,JavaScript,55.9
Gemini-1.5-Pro,Rust,37.5
Gemini-1.5-Pro,Go,45.9
CodeLlama-34B,Python,53.8
CodeLlama-34B,Java,43.1
CodeLlama-34B,C++,42.7
CodeLlama-34B,JavaScript,50.9
CodeLlama-34B,Rust,26.9
CodeLlama-34B,Go,36.8
DeepSeek-Coder-33B,Python,59.3
DeepSeek-Coder-33B,Java,49.9
DeepSeek-Coder-33B,C++,48.4
DeepSeek-Coder-33B,JavaScript,53.6
DeepSeek-Coder-33B,Rust,34.3
DeepSeek-Coder-33B,Go,45.0
StarCoder2-15B,Python,47.2
StarCoder2-15B,Java,37.3
StarCoder2-15B,C++,36.8
StarCoder2-15B,JavaScript,43.5
StarCoder2-15B,Rust,20.8
StarCoder2-15B,Go,31.4
